# Threads Time(s) Speedup Efficiency
1 159.632563 1.0000 1.0000
2 79.816012 2.0000 1.0000
4 39.961084 3.9947 0.9987
8 19.985393 7.9875 0.9984
16 9.990151 15.9790 0.9987
20 7.993152 19.9712 0.9986

